time,pm10,pm2.5
2018-04-20:10,90,61
2018-04-20:09,88,64
2018-04-20:08,86,64
2018-04-20:07,90,63
2018-04-20:06,87,63
2018-04-20:05,88,61
2018-04-20:04,83,58
2018-04-20:03,88,60
2018-04-20:02,105,60
2018-04-20:01,124,59
2018-04-19:24,106,55
2018-04-19:23,104,45
2018-04-19:22,102,40
2018-04-19:21,100,35
2018-04-19:20,81,30
2018-04-19:19,85,19
2018-04-19:18,69,5
2018-04-19:17,52,1
2018-04-19:16,33,6
2018-04-19:15,23,11
2018-04-19:14,16,11
2018-04-19:13,21,3
2018-04-19:12,20,15
2018-04-19:11,26,
2018-04-19:10,52,39
2018-04-19:09,70,42
2018-04-19:08,49,44
2018-04-19:07,57,45
2018-04-19:06,56,48
2018-04-19:05,59,49
2018-04-19:04,62,46
2018-04-19:03,64,40
2018-04-19:02,54,36
2018-04-19:01,38,30
2018-04-18:24,32,30
2018-04-18:23,36,32
2018-04-18:22,44,30
2018-04-18:21,37,27
2018-04-18:20,50,28
2018-04-18:19,61,24
2018-04-18:18,56,24
2018-04-18:17,64,19
2018-04-18:16,58,21
2018-04-18:15,60,24
2018-04-18:14,85,29
2018-04-18:13,78,29
2018-04-18:12,75,30
2018-04-18:11,82,35
2018-04-18:10,65,42
2018-04-18:09,84,46
2018-04-18:08,81,48
2018-04-18:07,79,48
2018-04-18:06,67,48
2018-04-18:05,62,47
2018-04-18:04,60,43
2018-04-18:03,59,38
2018-04-18:02,63,34
2018-04-18:01,60,38
2018-04-17:24,50,44
2018-04-17:23,52,43
2018-04-17:22,77,33
2018-04-17:21,144,28
2018-04-17:20,170,27
2018-04-17:19,120,26
2018-04-17:18,85,22
2018-04-17:17,72,21
2018-04-17:16,68,19
2018-04-17:15,48,22
2018-04-17:14,37,26
2018-04-17:13,38,33
2018-04-17:12,54,38
2018-04-17:11,59,42
2018-04-17:10,57,41
2018-04-17:09,51,41
2018-04-17:08,55,39
2018-04-17:07,46,37
2018-04-17:06,47,37
2018-04-17:05,51,35
2018-04-17:04,45,34
2018-04-17:03,48,33
2018-04-17:02,47,28
2018-04-17:01,41,23
2018-04-16:24,37,22
2018-04-16:23,38,24
2018-04-16:22,47,29
2018-04-16:21,44,33
2018-04-16:20,43,33
2018-04-16:19,50,29
2018-04-16:18,61,27
2018-04-16:17,,
2018-04-16:16,,
2018-04-16:15,49,20
2018-04-16:14,46,19
2018-04-16:13,42,21
2018-04-16:12,46,27
2018-04-16:11,46,32
2018-04-16:10,51,33
2018-04-16:09,52,32
2018-04-16:08,35,30
2018-04-16:07,45,27
2018-04-16:06,39,26
2018-04-16:05,40,26
2018-04-16:04,41,25
2018-04-16:03,40,22
2018-04-16:02,44,21
2018-04-16:01,28,18
2018-04-15:24,35,17
2018-04-15:23,33,16
2018-04-15:22,35,16
2018-04-15:21,30,15
2018-04-15:20,36,15
2018-04-15:19,60,13
2018-04-15:18,69,11
2018-04-15:17,90,11
2018-04-15:16,128,10
2018-04-15:15,174,9
2018-04-15:14,152,9
2018-04-15:13,136,12
2018-04-15:12,159,16
2018-04-15:11,136,20
2018-04-15:10,120,24
2018-04-15:09,84,26
2018-04-15:08,62,28
2018-04-15:07,61,28
2018-04-15:06,61,26
2018-04-15:05,48,25
2018-04-15:04,48,22
2018-04-15:03,45,17
2018-04-15:02,39,12
2018-04-15:01,35,13
2018-04-14:24,28,16
2018-04-14:23,27,16
2018-04-14:22,28,15
2018-04-14:21,19,13
2018-04-14:20,19,14
2018-04-14:19,13,13
2018-04-14:18,18,10
2018-04-14:17,13,8
2018-04-14:16,12,8
2018-04-14:15,13,9
2018-04-14:14,7,
2018-04-14:13,10,
2018-04-14:12,13,13
2018-04-14:11,15,14
2018-04-14:10,18,15
2018-04-14:09,25,15
2018-04-14:08,26,16
2018-04-14:07,24,19
2018-04-14:06,31,18
2018-04-14:05,37,13
2018-04-14:04,36,9
2018-04-14:03,33,6
2018-04-14:02,38,3
2018-04-14:01,29,4
2018-04-13:24,29,6
2018-04-13:23,39,5
2018-04-13:22,34,7
2018-04-13:21,32,7
2018-04-13:20,34,5
2018-04-13:19,40,3
2018-04-13:18,26,2
2018-04-13:17,36,2
2018-04-13:16,26,1
2018-04-13:15,33,1
2018-04-13:14,30,1
2018-04-13:13,37,7
2018-04-13:12,34,21
2018-04-13:11,55,30
2018-04-13:10,57,34
2018-04-13:09,44,29
2018-04-13:08,55,28
2018-04-13:07,46,26
2018-04-13:06,48,25
2018-04-13:05,44,24
2018-04-13:04,43,22
2018-04-13:03,52,18
2018-04-13:02,46,13
2018-04-13:01,50,12
2018-04-12:24,40,14
2018-04-12:23,42,11
2018-04-12:22,37,6
2018-04-12:21,33,5
2018-04-12:20,48,4
2018-04-12:19,41,3
2018-04-12:18,43,6
2018-04-12:17,42,3
2018-04-12:16,38,1
2018-04-12:15,39,2
2018-04-12:14,38,11
2018-04-12:13,47,20
2018-04-12:12,52,23
2018-04-12:11,59,16
2018-04-12:10,53,17
2018-04-12:09,47,19
2018-04-12:08,43,18
2018-04-12:07,46,15
2018-04-12:06,36,16
2018-04-12:05,48,18
2018-04-12:04,50,19
2018-04-12:03,54,18
2018-04-12:02,56,13
2018-04-12:01,41,10
2018-04-11:24,51,11
2018-04-11:23,46,10
2018-04-11:22,54,9
2018-04-11:21,56,8
2018-04-11:20,64,6
2018-04-11:19,57,5
2018-04-11:18,56,4
2018-04-11:17,48,4
2018-04-11:16,52,4
2018-04-11:15,62,5
2018-04-11:14,63,13
2018-04-11:13,68,20
2018-04-11:12,54,27
2018-04-11:11,78,36
2018-04-11:10,120,40
2018-04-11:09,113,40
2018-04-11:08,106,43
2018-04-11:07,85,42
2018-04-11:06,75,23
2018-04-11:05,64,20
2018-04-11:04,51,17
2018-04-11:03,54,14
2018-04-11:02,60,12
2018-04-11:01,38,9
2018-04-10:24,29,6
2018-04-10:23,40,3
2018-04-10:22,32,2
2018-04-10:21,38,3
2018-04-10:20,44,4
2018-04-10:19,44,3
2018-04-10:18,60,1
2018-04-10:17,50,1
2018-04-10:16,52,1
2018-04-10:15,69,1
2018-04-10:14,93,1
2018-04-10:13,88,7
2018-04-10:12,58,22
2018-04-10:11,46,28
2018-04-10:10,35,26
2018-04-10:09,27,22
